                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89666,                 3.2753,                 1.4353,                0.00433,                      1,                0.09576,                 0.0516,                0.86271,                 3.3499,                 1.4864,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                0.67304,                 3.1911,                 1.3156,                0.00428,                      1,                0.14603,                0.11128,                0.46843,                 3.2877,                 1.0441,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                0.39107,                 3.0441,                 1.1658,                 0.0043,                      1,                0.32834,                0.23649,                0.34023,                 3.2515,                0.85358,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                0.30215,                 2.9325,                 1.0987,                0.00441,                      1,                0.37242,                0.30032,                0.29701,                 3.2136,                0.81397,             0.00012933,             0.00012933,             0.00012933
                      5,                0.28167,                  2.733,                 1.0546,                0.00488,                      1,                0.37975,                0.33819,                0.26879,                 3.1588,                0.77781,             0.00016114,             0.00016114,             0.00016114
                      6,                 0.2284,                 2.4843,                 1.0078,                 0.0049,                      1,                0.39565,                0.36305,                0.27982,                 3.1135,                0.77881,             0.00019146,             0.00019146,             0.00019146
                      7,                0.25909,                 2.3752,                 1.0094,                0.00507,                      1,                0.36407,                0.34593,                0.32023,                 3.0768,                0.80267,              0.0002203,              0.0002203,              0.0002203
                      8,                0.21099,                 2.1838,                0.98754,                0.00526,                      1,                0.31988,                0.29529,                0.34116,                 3.0805,                0.82606,             0.00024765,             0.00024765,             0.00024765
                      9,                0.22935,                 2.1307,                0.99297,                0.00575,                      1,                0.25689,                 0.2192,                0.43795,                   3.14,                0.96098,             0.00027352,             0.00027352,             0.00027352
                     10,                0.24523,                 1.9222,                0.99011,                0.00602,                      1,                0.12226,                0.09206,                0.51986,                 3.2182,                 1.0459,              0.0002979,              0.0002979,              0.0002979
                     11,                0.23259,                 1.8675,                0.97843,                 0.0062,                      1,                 0.0755,                0.06545,                0.67975,                 3.2733,                 1.1716,              0.0003208,              0.0003208,              0.0003208
                     12,                0.23429,                 1.6933,                 0.9727,                0.00629,                      1,                0.10057,                0.09202,                0.56922,                 3.1536,                 1.0993,             0.00034221,             0.00034221,             0.00034221
                     13,                 0.2345,                  1.611,                  1.008,                0.32605,                0.28512,                0.44656,                 0.4231,                0.59512,                 2.6852,                 1.0685,             0.00036214,             0.00036214,             0.00036214
                     14,                0.20891,                 1.5355,                0.96578,                0.40383,                 0.4165,                0.52579,                0.47463,                0.68914,                 2.4664,                 1.1675,             0.00038058,             0.00038058,             0.00038058
                     15,                 0.2842,                 1.4427,                 1.0007,                0.32407,                0.58139,                 0.4207,                0.36356,                0.75444,                 2.3705,                 1.2299,             0.00039754,             0.00039754,             0.00039754
                     16,                0.25458,                 1.3351,                0.98613,                0.21316,                0.60987,                0.33188,                0.27578,                0.82404,                 2.4067,                 1.2533,             0.00041301,             0.00041301,             0.00041301
                     17,                0.22474,                 1.2761,                0.93442,                0.26694,                0.73228,                0.44064,                0.38496,                  0.768,                 2.2891,                 1.2898,               0.000427,               0.000427,               0.000427
                     18,                0.23579,                 1.2494,                 0.9865,                0.35503,                0.78837,                0.55039,                0.48288,                0.57786,                 2.2292,                 1.0716,              0.0004395,              0.0004395,              0.0004395
                     19,                 0.2419,                 1.1387,                0.95885,                0.34987,                0.75527,                0.50454,                 0.4476,                0.51812,                 2.2472,                 1.0017,             0.00045052,             0.00045052,             0.00045052
                     20,                0.21464,                 1.1267,                0.95222,                0.38701,                0.82222,                0.49515,                0.46502,                0.49608,                 2.2709,                0.96318,             0.00046005,             0.00046005,             0.00046005
                     21,                0.21002,                 1.0987,                0.91245,                0.46089,                0.82222,                0.51283,                0.46924,                0.56953,                 2.3878,                   1.06,              0.0004681,              0.0004681,              0.0004681
